Result (Alt. 1) (Unused Alt.),R-fingers on side of palm-in flat left hand slides along hand and down.,SEE,377
Idle,Five hands with thumbs resting on side of chest, wiggle fingers.,SEE,378
Holiday,Extended thumbs of palm-in H's tap on side of chest.,SEE,379
Leisure,L-thumbs tap into sides of chest,SEE,380
Retire,Extended thumbs of R-hands tap front of shoulders,SEE,381
Vacation,Palm-in horizontal V's tap on side of chest, repeat,SEE,382
Destroy,Palm-down right hand sweeps back over palm-up left, closing fingers, right closes, then brushes forward, striking left in palm.,SEE,383
Revenge,Modified A-hands hit each other sharply and separate,SEE,384
Honest,Middle finger of H-hand slides forward on left palm.,SEE,385
Earnest,Side of right E on horizontal left palm E brushes forward on palm.,SEE,386
Frank,Side of right F on left palm slide F straight forward.,SEE,387
Genuine,Side of right G-hand on palm, slide off forward.,SEE,388
Real (Alt. 1) (Unused Alt.),Fingertips of right R slide across palm-up left hand,SEE,389
True,Side of T on left palm, slide forward across palm and fingers.,SEE,390
Create,Horizontal C's, right on left, both twist to palm-in.,SEE,391
Make,Side of S touches on side of S, lift off, both twist to palm-in and touch again.,SEE,392
Manufacture,Side of M on side of M, lift one slightly twist both to palm-in and touch again and back again.,SEE,393
Ease,Right fingertips stroke upwards on back of bent left fingers, circling up and out, repeat.,SEE,394
Convenient,Thumb of C brushes up and back of bent fingers, repeat.,SEE,395
Simple,Right S brushes up and back of left bent fingers, twice,SEE,396
Exact,Right hand with closed thumb and fingertip circles and drops on palm-up closed thumb and fingertip.,SEE,397
Perfect,Right P circles, facing left palm-in P, then middle fingertips touch.,SEE,398
Specific (Unused Alt.),Tip of 1-hand makes small circle then jerks toward left vertical index.,SEE,399
Insult,Index finger, pointing forward, moves sharply out and up.,SEE,400
Amount,Index side of flat hand on heel of left hand, outline amount to little-finger side of hand on left fingertips.,SEE,401
Batch,Heel of palm-out B hops from palm to fingers of flat left hand.,SEE,402
Heap,Index side of H touches left hand heel arcs to fingertips palm-in.,SEE,403
Mound,Right arcs through air from left heel to fingertips,SEE,404
Quantity,Fingertips of palm-down Q touch heel of horizontal left palm, arc to touch back of Q on fingertips of left palm,SEE,405
Volume,Index finger of right V on heel of left palm, arcs to touch middle fingertip,SEE,406
Gradual,Left hand palm-down, right G palm-down above brushes backwards along left hand.,SEE,407
Retard,Right R-hand draws up back of left hand and wrist,SEE,408
Slow,Both palms-down, right hand moves up back of horizontal left hand,SEE,409
Appear,Right index rises to appear between index and middle fingers of palm-down hand.,SEE,410
Hollow,Fingers of palm-up H carve out left C, ending palm-down.,SEE,411
Apartment,Horizontal A-hands face each other, change to palm-in P hands one ahead of the other.,SEE,412
Box,B-hands make the four sides of a box.,SEE,413
Case,C's outline box, first at sides then front and back.,SEE,414
Condominium (Alt. 2) (Unused Alt.),Parallel palm-out C's change to palm-in D's, left behind right,SEE,415
Den,Palm-down D-hands shape box.,SEE,416
Garden,Box in a garden with G-hands.,SEE,417
Kitchen (Alt. 1),Palm-down K's point forward, form box-shape, changing to palms-in,SEE,418
Room,R-hands box in a room.,SEE,419
