id,identifier
414,Case,C's outline box, first at sides then front and back.,SEE
415,Condominium (Alt. 2) (Unused Alt.),Parallel palm-out C's change to palm-in D's, left behind right,SEE
416,Den,Palm-down D-hands shape box.,SEE
417,Garden,Box in a garden with G-hands.,SEE
418,Kitchen (Alt. 1),Palm-down K's point forward, form box-shape, changing to palms-in,SEE
419,Room,R-hands box in a room.,SEE
420,Angle,Right index finger traces angle of left horizontal L-hand.,SEE
421,Regular,Right index above left, both pointing forward, right makes small clockwise circles, hitting left on each cycle,SEE
422,Same,Palm-down parallel index fingers touch sides together.,SEE
423,Synonym,Left index and right S-hand, palms-down, tap sides together.,SEE
424,Square,Indexes draw a square.,SEE
425,Rectangle,R's outline rectangle.,SEE
426,Perimeter,Middle fingertips of P's touch, outline horizontal rectangle and touch again,SEE
427,Lake,Palm-down L-thumbs touch, circle outward, shaking, touch again,SEE
428,Pond,Middle finger of P's touch, separate shaking outward and forward in a circle, touch again.,SEE
429,Cause,Palm-up A's, left more ahead of right, drop and open.,SEE
430,Compete,Extended-A's, palms-facing, move alternately back and forth, not touching.,SEE
431,Quiet,Flat hands cross under chin and separate downwards,SEE
432,Calm,C-hands slighty crosses near chin separate downwards.,SEE
433,Gentle,G-hands, one behind the other at chin separate downwards.    ,SEE
434,Peace,P-hands, left in front of right at chin separate downwards,SEE
435,Silent,S's one behind the other at chin separate downwards,SEE
436,Faith,Touch forehead with index, drop to S on S at shoulder level.,SEE
437,Fix,Thumbs of F's together, left is stationary right twists down from wrist, repeat.,SEE
438,Mend,Fingertips of M-hands touch, then right hand twist,SEE
439,Repair,R-tips touch, twist in opposite directios and touch again,SEE
440,Start,Right index between left index and middle finger of 5-hand, twist right hand.,SEE
441,Begin,Index twists of wrist of left B-hand.,SEE
